                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1093,                 1.6748,                 1.1739,                 0.6495,                0.51669,                0.61027,                0.45137,                 1.0851,                  1.109,                 1.1284,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1364,                  1.443,                  1.169,                0.65303,                0.54443,                0.62577,                 0.4644,                 1.0771,                 1.0699,                 1.1248,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.0842,                  1.349,                 1.1759,                0.68279,                0.54271,                0.63918,                0.47577,                 1.0693,                 1.0479,                 1.1201,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                  1.106,                 1.3884,                 1.1561,                 0.7004,                0.57192,                0.65395,                0.49176,                 1.0595,                 1.0241,                 1.1155,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.0612,                 1.2457,                 1.1436,                 0.7178,                 0.5983,                0.66829,                 0.5031,                 1.0477,                 1.0018,                 1.1065,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.0985,                 1.3267,                 1.1444,                0.74308,                0.60628,                0.68462,                0.51218,                 1.0386,                0.97869,                  1.099,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.0702,                 1.1762,                 1.1341,                0.73498,                0.61634,                0.69101,                0.51918,                 1.0252,                0.95842,                 1.0931,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.0426,                  1.162,                 1.1203,                0.71756,                0.64573,                0.70206,                0.52916,                 1.0201,                0.93739,                 1.0896,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                  1.041,                 1.2199,                 1.1294,                 0.7468,                0.66183,                0.72101,                0.54247,                 1.0071,                0.90634,                 1.0807,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0348,                 1.1782,                   1.13,                0.76225,                0.67819,                0.73093,                0.54938,                0.99879,                0.89258,                 1.0728,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0367,                 1.1189,                 1.1162,                0.72913,                 0.6961,                0.74498,                0.55966,                0.98897,                  0.871,                 1.0693,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0473,                 1.0741,                 1.1173,                0.73654,                0.70761,                0.75517,                0.56793,                0.97979,                0.85871,                 1.0635,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0319,                 1.0702,                  1.116,                0.77482,                 0.6903,                 0.7602,                0.57118,                0.97331,                0.84063,                 1.0592,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0284,                 1.0827,                 1.1198,                 0.7735,                0.69399,                0.76141,                0.58457,                0.96471,                0.82458,                 1.0538,             0.00010368,             0.00010368,             0.00010368
                     15,                 0.9876,                   1.03,                 1.0955,                0.80883,                0.70087,                0.77771,                0.59721,                0.95856,                0.80198,                 1.0495,             0.00010251,             0.00010251,             0.00010251
                     16,                0.97208,                 1.0359,                 1.0789,                0.84447,                0.68622,                0.79217,                0.60595,                0.95505,                0.78179,                 1.0464,             0.00010133,             0.00010133,             0.00010133
                     17,                0.94686,                0.96297,                 1.0774,                0.84867,                0.69104,                0.80108,                0.61615,                0.94801,                0.76628,                 1.0412,             0.00010015,             0.00010015,             0.00010015
                     18,                0.99262,                 1.0147,                 1.1109,                0.77951,                0.74812,                0.80831,                0.62013,                0.93526,                0.75367,                 1.0332,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                0.95105,                0.95189,                  1.076,                0.82357,                0.73092,                  0.812,                0.62599,                0.92724,                0.74315,                 1.0273,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                0.93335,                0.91461,                 1.0663,                0.84425,                0.73017,                0.81515,                0.63525,                0.91539,                0.73075,                 1.0211,             9.6616e-05,             9.6616e-05,             9.6616e-05
                     21,                 0.9337,                0.92379,                 1.0817,                0.85483,                0.73266,                0.81821,                0.63553,                0.91082,                 0.7238,                 1.0184,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                0.96903,                0.94521,                 1.0983,                0.84278,                 0.7395,                0.81935,                0.63742,                0.90513,                0.71541,                 1.0162,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                 0.9845,                0.98292,                 1.0956,                0.82845,                0.74608,                0.82219,                0.64499,                  0.897,                0.70253,                 1.0129,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                0.89102,                0.87264,                  1.061,                0.77449,                0.78112,                0.83036,                0.65222,                0.89268,                0.68853,                 1.0112,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                0.99502,                0.98255,                 1.1067,                0.78414,                0.79071,                0.83413,                0.65768,                0.88503,                0.68025,                 1.0066,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                0.96055,                0.91732,                 1.0789,                0.79481,                0.78705,                0.83319,                0.66416,                0.87583,                0.67239,                 1.0011,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                0.92125,                0.84321,                 1.0691,                0.82111,                0.77225,                0.83455,                0.66634,                0.86509,                0.66657,                0.99593,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                0.90411,                0.88766,                 1.0631,                0.81689,                0.77918,                0.83915,                0.67316,                0.85859,                0.66257,                0.99159,             8.7191e-05,             8.7191e-05,             8.7191e-05
