                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1261,                 2.6911,                  1.651,                 1.1715,                0.63513,                0.53963,                0.59824,                0.44488,                  0.608,                 0.5142,                0.55982,                0.36961,                 1.0886,                 2.4733,                 1.1456,                 1.1233,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.1308,                 2.5609,                  1.432,                 1.1503,                0.69494,                 0.5183,                0.62355,                0.46821,                0.66228,                0.49346,                0.58474,                0.38865,                 1.0764,                 2.4485,                 1.1079,                 1.1165,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.0911,                 2.5187,                 1.3387,                 1.1725,                0.69142,                0.52738,                0.63374,                0.47797,                0.66693,                0.49372,                0.59135,                0.39502,                 1.0679,                 2.4256,                 1.0831,                 1.1117,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                 1.1049,                 2.5742,                 1.3678,                 1.1481,                0.62559,                0.58722,                 0.6453,                0.48658,                 0.6006,                0.55511,                0.59975,                0.40125,                 1.0572,                 2.3963,                 1.0577,                 1.1053,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.0791,                  2.572,                 1.2997,                  1.142,                0.69372,                0.57194,                0.66247,                0.49437,                0.66023,                0.54236,                0.61258,                0.41173,                 1.0503,                 2.3748,                 1.0319,                 1.0995,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1085,                 2.5754,                  1.376,                 1.1335,                0.69151,                0.59626,                0.67011,                0.50695,                0.66985,                0.57339,                0.62565,                0.41791,                 1.0435,                 2.3505,                 1.0087,                 1.0955,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.0764,                 2.5612,                  1.232,                 1.1311,                0.68563,                0.61154,                0.68322,                0.51998,                0.65984,                0.58424,                0.63618,                0.42544,                 1.0287,                  2.337,                0.98337,                 1.0858,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.0654,                  2.458,                 1.2078,                 1.1293,                0.69061,                0.62706,                0.69145,                0.52773,                0.65736,                0.59733,                0.64651,                0.42966,                 1.0209,                 2.3129,                0.95713,                 1.0815,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0436,                 2.3797,                 1.2394,                 1.1236,                0.67439,                0.66037,                0.70576,                 0.5413,                0.63884,                0.62396,                0.65649,                0.43683,                 1.0121,                 2.2788,                0.92775,                 1.0716,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                 1.0628,                 2.4711,                 1.2113,                 1.1445,                 0.6824,                0.66647,                0.70718,                0.54115,                0.65678,                0.63884,                0.66972,                0.43991,                 1.0014,                 2.2591,                 0.9104,                 1.0647,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0347,                 2.3708,                  1.115,                  1.114,                0.68308,                0.65635,                0.72212,                0.54837,                0.65841,                0.64106,                0.68098,                0.45014,                0.99713,                 2.2444,                0.88973,                 1.0612,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.0403,                 2.4351,                 1.1024,                 1.1085,                0.73194,                0.66683,                0.73937,                0.55783,                0.66449,                0.65992,                0.69012,                0.45786,                0.98345,                 2.2306,                 0.8766,                  1.053,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0518,                 2.2998,                 1.1039,                 1.1133,                0.73826,                0.68595,                0.75563,                0.57264,                0.68899,                0.66104,                0.71064,                0.46688,                0.96908,                 2.2063,                0.85796,                 1.0465,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0202,                 2.3046,                 1.0941,                 1.1071,                0.74646,                0.67765,                0.76378,                0.58339,                 0.7064,                0.65031,                0.71292,                0.47047,                  0.958,                 2.1765,                0.83366,                 1.0403,             0.00010368,             0.00010368,             0.00010368
