                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1613,                 3.0831,                 3.6745,                 1.4313,                0.74125,                0.11667,                0.03853,                0.02451,                  0.736,                    0.1,                0.03624,                0.01821,                 1.0542,                 3.3972,                  4.389,                 1.5014,               5.95e-06,               5.95e-06,               5.95e-06
                      2,                  1.273,                 3.3678,                 3.4366,                 1.5057,                0.76026,                   0.15,                0.05803,                0.03039,                0.74242,                0.08333,                0.04047,                0.02351,                 1.0001,                 3.3054,                 4.0211,                 1.4633,             1.3004e-05,             1.3004e-05,             1.3004e-05
                      3,                 1.1325,                 2.8412,                 2.9961,                 1.3893,                0.83253,                0.14863,                0.27406,                0.21237,                0.12115,                0.42778,                0.24956,                0.16976,                0.92674,                 3.0967,                 3.1946,                 1.3428,             1.9963e-05,             1.9963e-05,             1.9963e-05
                      4,                0.82017,                 2.2018,                 2.6558,                 1.1596,                0.17133,                0.62222,                0.44069,                0.35299,                0.16873,                0.57222,                0.41307,                0.29664,                0.79137,                 2.3998,                 2.4863,                 1.2062,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      5,                  1.091,                 2.3568,                 1.9036,                 1.4183,                0.18061,                0.91667,                0.59684,                0.50872,                0.18686,                0.94167,                0.60656,                0.44394,                0.70324,                 1.9438,                  1.938,                 1.1113,             3.3599e-05,             3.3599e-05,             3.3599e-05
                      6,                0.89808,                  2.124,                 1.6325,                 1.1999,                0.64893,                0.55663,                0.67814,                0.58278,                0.63283,                0.54177,                0.68461,                0.51589,                0.65227,                 1.7658,                 1.4947,                 1.0296,             4.0276e-05,             4.0276e-05,             4.0276e-05
                      7,                0.85252,                 2.2421,                 1.2844,                 1.1709,                 0.6277,                0.78456,                0.75155,                0.62941,                0.59198,                0.76642,                0.74949,                0.57279,                0.66154,                 1.8382,                 1.1816,                 1.0306,             4.6858e-05,             4.6858e-05,             4.6858e-05
                      8,                0.86823,                 2.1328,                 1.0637,                 1.2035,                0.80971,                 0.7374,                 0.8023,                0.65748,                0.80971,                 0.7374,                0.80291,                0.59997,                0.65937,                 2.0237,                0.93502,                 1.0399,             5.3346e-05,             5.3346e-05,             5.3346e-05
                      9,                0.73859,                 1.7555,                0.91582,                 1.1196,                0.79467,                  0.875,                 0.8514,                0.70809,                0.79467,                  0.875,                0.85709,                0.64086,                0.65651,                 2.1563,                0.75036,                 1.0612,              5.974e-05,              5.974e-05,              5.974e-05
                     10,                0.60272,                  1.589,                0.80351,                 1.0551,                0.85296,                0.86225,                0.88633,                0.72797,                0.85296,                0.86225,                0.88684,                0.66802,                0.65335,                 2.2052,                0.72122,                 1.0474,              6.604e-05,              6.604e-05,              6.604e-05
                     11,                0.74123,                 2.0319,                0.94096,                 1.1906,                0.88033,                  0.875,                0.90811,                0.77591,                0.87413,                  0.875,                 0.9132,                0.71559,                0.65322,                 2.2274,                0.69794,                 1.0315,             7.2245e-05,             7.2245e-05,             7.2245e-05
                     12,                 0.6515,                  1.535,                0.80136,                 1.0648,                0.87061,                0.88622,                0.91885,                0.79811,                 0.9309,                0.90833,                0.93156,                0.72565,                0.67209,                 2.4046,                0.68713,                 1.0389,             7.8356e-05,             7.8356e-05,             7.8356e-05
                     13,                0.58483,                 1.3811,                 0.8134,                 1.0511,                0.90137,                0.89787,                0.92411,                0.79419,                0.93146,                  0.925,                0.93637,                0.73417,                0.68017,                 2.4675,                0.64823,                  1.049,             8.4373e-05,             8.4373e-05,             8.4373e-05
                     14,                0.75211,                 1.6719,                0.72431,                 1.1405,                0.93884,                0.90833,                0.93267,                0.78994,                0.93884,                0.90833,                0.93403,                0.73348,                0.67128,                 2.4719,                0.59041,                 1.0517,             9.0296e-05,             9.0296e-05,             9.0296e-05
                     15,                0.67384,                 2.1189,                0.85456,                 1.0665,                0.96763,                0.87412,                0.93325,                0.78074,                0.90342,                0.88443,                0.91333,                0.72872,                0.66834,                 2.4594,                0.58391,                  1.058,             9.6124e-05,             9.6124e-05,             9.6124e-05
                     16,                0.65616,                 1.4133,                0.73097,                 1.1002,                0.96887,                0.86445,                 0.9247,                0.77791,                0.96887,                0.86445,                0.91849,                 0.7443,                0.66851,                 2.6521,                0.58567,                 1.0957,             0.00010186,             0.00010186,             0.00010186
                     17,                0.69087,                 1.4655,                0.69881,                 1.1693,                0.96967,                0.86469,                0.92985,                 0.8022,                0.96967,                0.86469,                 0.9203,                0.74774,                0.65131,                 2.6611,                0.58382,                 1.0804,             0.00010643,             0.00010643,             0.00010643
                     18,                0.70603,                 1.7107,                0.87169,                 1.1063,                0.97466,                0.85833,                0.93796,                0.79936,                0.97466,                0.85833,                0.92322,                0.76921,                0.62306,                 2.5672,                 0.5757,                 1.0365,             0.00010565,             0.00010565,             0.00010565
                     19,                0.68093,                   1.45,                0.78119,                 1.1245,                0.96978,                0.85738,                0.94101,                0.79394,                0.96978,                0.85738,                0.92907,                 0.7609,                0.62354,                 2.6247,                0.59638,                 1.0398,             0.00010486,             0.00010486,             0.00010486
                     20,                0.57491,                 1.3202,                0.65167,                 1.0299,                0.97646,                0.84577,                0.94379,                0.80536,                0.97646,                0.84577,                0.93293,                 0.7781,                 0.6556,                 2.8082,                0.52423,                  1.061,             0.00010408,             0.00010408,             0.00010408
